Direccion;Precio;Tipo_Adquicision;Habitaciones;Banios;Ciudad;Fecha
5241 Brooklyn Avenue NE, Seattle, WA 98105;818800;ForSale;4;2;Seattle;2023-11-02T16:42:18.591Z
2729 Fircrest Drive SE, Port Orchard, WA 98366;489900;ForSale;5;2;Pt Orchard;2023-10-20T00:21:33.892Z
2311 Milton Way UNIT E, Milton, WA 98354;445000;ForSale;2;3;Milton;2023-11-13T05:17:18.619Z
14640 NW Rock Creek Rd, Portland, OR 97231;1700000;ForSale;5;4;Portland;2024-03-01T17:03:10.831Z
9014 20th Avenue NE, Seattle, WA 98115;570000;ForSale;3;2;Seattle;2024-03-25T14:11:43.467Z
3501 Auburn Way S UNIT 49, Auburn, WA 98092;208000;ForSale;3;2;Auburn;2023-11-02T14:50:37.951Z
6300 S Perry Street, Seattle, WA 98118;795000;ForSale;5;5;Seattle;2024-02-28T01:28:42.496Z
1142 Pinto Loop, Richland, WA 99352;1450000;ForSale;4;4;Richland;2024-03-21T20:11:58.749Z
335 Glenn Hill Ave, West Richland, WA 99353;289900;ForSale;3;2;West Richland;2024-03-17T07:46:44.842Z
575 Mountainside Drive SW, Issaquah, WA 98027;1250000;ForSale;4;2;Issaquah;2023-11-07T08:37:13.127Z
1402 Kendall Rd NW, Benton City, WA 99320;389000;ForSale;6;3;Benton City;2023-10-10T16:28:50.736Z
3615 Phinney Avenue N UNIT A, Seattle, WA 98103;898000;ForSale;2;3;Seattle;2023-10-31T01:13:37.816Z
3141 E 34th Ave, Spokane, WA 99223;335000;ComingSoon;3;2;Spokane;2024-02-20T20:40:49.289Z
25200 NW Saint Helens Rd #22, Portland, OR 97231;55000;ForSale;2;2;Portland;2023-12-22T21:01:46.195Z
28705 NE 197th Avenue, Battle Ground, WA 98604;835000;ForSale;3;3;Battle Ground;2024-01-05T06:22:14.398Z
12302 W Euclid Rd, Spokane, WA 99224;450000;ForSale;3;2;Spokane;2024-02-14T16:22:20.332Z
16704 SE Newport Way, Bellevue, WA 98006;1199950;ForSale;3;2;Bellevue;2023-12-04T19:51:41.969Z
10 W Hoh Circle, Elma, WA 98541;299900;ForSale;3;2;Elma;2023-12-10T06:30:26.752Z
65038 Logan Hill Road, Chehalis, WA 98532;399000;ForSale;4;3;Chehalis;2024-03-02T11:13:05.838Z
1303 China Garden Rd, Kalama, WA 98625;436000;ForSale;3;2;Kalama;2023-10-29T15:25:30.930Z
10915 S Sherman Rd, Spokane, WA 99224;1750000;ComingSoon;4;4;Spokane;2023-12-12T06:05:40.807Z
8767 NW Springville Rd, Portland, OR 97231;450000;ForSale;3;3;Portland;2024-03-30T15:13:20.812Z
2605 W Woodside Ave, Spokane, WA 99208;399900;ForSale;3;2;Spokane;2023-11-23T16:19:13.364Z
528 Crestline Circle Dr, Lewiston, ID 83501;1800000;ForSale;4;4;Lewiston;2023-10-22T07:59:12.831Z
6303 Karjala Road, Aberdeen, WA 98520;294500;ForSale;3;1;Aberdeen;2024-03-28T11:58:13.254Z
5912 S Summerwood St, Spokane, WA 99224;1200000;ComingSoon;5;4;Spokane;2024-03-18T05:48:52.194Z
206 S 4th Ave, Ridgefield, WA 98642;499900;ForSale;3;2;Ridgefield;2024-03-16T09:43:15.881Z
1706 Wooden Rd, Shawnigan Lake, BC V0R 2W1;999000;ForSale;3;3;Shawnigan Lake;2024-01-09T00:13:49.522Z
9602 NE 69th St, Vancouver, WA 98662;479900;ForSale;4;2;Vancouver;2024-02-08T07:06:27.921Z
23125 SE 243rd Place, Maple Valley, WA 98038;950000;ForSale;5;3;Maple Valley;2023-11-30T03:45:57.631Z
8008 NE 179th Street UNIT 8, Battle Ground, WA 98604;259500;ForSale;3;2;Battle Ground;2024-02-24T20:37:57.816Z
200 S Young Pl, Kennewick, WA 99336;419950;ForSale;3;3;Kennewick;2024-02-29T11:29:16.859Z
5641 Hawks Prairie Road NE, Olympia, WA 98516;1895000;ForSale;4;3;Olympia;2024-02-06T22:50:59.723Z
22518 Paul Bunyan Road SE, Yelm, WA 98597;275000;ForSale;2;1;Yelm;2024-03-18T14:17:40.079Z
13751 NE North Shore Road, Belfair, WA 98528;750000;ForSale;2;2;Belfair;2024-02-19T14:31:27.704Z
36842 45th Avenue S, Auburn, WA 98001;410000;ForSale;3;1;Auburn;2023-11-05T05:06:44.112Z
1255 Hillgrove Rd, North Saanich, BC V8L 5K7;1599900;ForSale;5;4;North Saanich;2024-03-14T20:53:58.204Z
12207 E 27th Ave, Spokane, WA 99206;390000;ForSale;5;2;Spokane;2024-01-06T02:04:13.713Z
3826 Densmore Avenue N, Seattle, WA 98103;1185000;ForSale;4;2;Seattle;2023-11-11T10:49:23.247Z
117 McKay Street, White Pass, WA 98937;365000;ForSale;2;2;Naches;2023-11-06T05:30:46.857Z
129 Meagan Court, Gold Bar, WA 98251;499950;ForSale;3;2;Gold Bar;2023-10-31T22:39:06.170Z
5123 Baker Way NW, Gig Harbor, WA 98332;2450000;ForSale;5;5;Gig Harbor;2024-02-04T21:33:51.105Z
8039 43rd Avenue NE, Seattle, WA 98115;899950;ForSale;4;2;Seattle;2024-01-07T06:20:41.025Z
629 E Harstine Heights Lane, Shelton, WA 98584;279900;ForSale;3;3;Shelton;2023-11-26T05:21:43.779Z
502 E Division Street, Mount Vernon, WA 98274;514990;ForSale;3;1;Mount Vernon;2024-03-19T02:37:40.343Z
17312 NE 26th Way, Vancouver, WA 98684;510000;ForSale;4;3;Vancouver;2023-10-22T21:51:53.885Z
1888 California Avenue SE, Port Orchard, WA 98366;299000;ForSale;2;1;Pt Orchard;2023-12-13T11:47:06.172Z
4944 NE 37th Ave, Portland, OR 97211;490000;ForSale;3;2;Portland;2024-02-26T18:36:48.784Z
16935 W Charles Rd, Nine Mile Falls, WA 99026;660000;ForSale;2;2;Nine Mile Falls;2023-11-21T23:25:49.436Z
9921 119th Street SW, Lakewood, WA 98498;439000;ForSale;3;1;Tacoma;2023-12-07T05:32:12.637Z
2140 192nd Avenue SE, Sammamish, WA 98075;990000;ForSale;4;3;Sammamish;2023-12-09T11:10:30.212Z
1409 SW Julia, College Place, WA 99324;460000;ForSale;3;2;College Place;2024-02-17T07:22:18.229Z
130 SW 194th Street, Normandy Park, WA 98166;749950;ForSale;3;3;Normandy Park;2024-02-10T14:37:35.060Z
3306 238th Street SW, Brier, WA 98036;950000;ForSale;4;3;Brier;2024-02-12T02:24:41.855Z
1295 NW Elford Drive, Seattle, WA 98177;11750000;ForSale;4;6;Seattle;2024-01-14T10:26:59.429Z
2910 S Rebecca St, Spokane, WA 99223;335000;ForSale;3;2;Spokane;2023-10-07T21:21:32.426Z
18930 NE 234th St, Battle Ground, WA 98604;649900;ForSale;3;2;Battle Ground;2023-12-18T04:38:33.076Z
1243 Evans Avenue W, Bremerton, WA 98312;450000;ForSale;2;2;Bremerton;2024-01-27T07:22:02.423Z
46 Lurline Ave, Victoria, BC V8Z 1H4;859900;ForSale;2;1;Victoria;2023-11-23T14:23:20.969Z
18829 E Alki Ave, Greenacres, WA 99016;460000;ForSale;4;2;Greenacres;2024-03-22T04:04:35.962Z
12811 SE 223rd Place, Kent, WA 98031;779000;ForSale;4;3;Kent;2024-03-25T15:00:02.542Z
4715 Buccaneers Rd, Southern Gulf Islands, BC V0N 2M2;570000;ForSale;1;1;Southern Gulf Islands;2024-03-11T20:52:33.267Z
2433 156th Street SW, Lynnwood, WA 98087;850000;ForSale;3;1;Lynnwood;2024-01-08T10:20:47.711Z
241 NE Collins Lake Drive, Tahuya, WA 98588;350000;ForSale;2;2;Tahuya;2023-11-17T19:20:15.065Z
4640 NE 112th Ave, Portland, OR 97220;474900;ForSale;3;3;Portland;2023-12-09T22:54:47.001Z
12724 83rd Court NE, Kirkland, WA 98034;995000;ForSale;3;3;Kirkland;2024-03-12T20:18:20.714Z
1513 Wright Ave, Richland, WA 99354;319000;ForSale;3;1;Richland;2023-11-06T16:52:43.635Z
1208 NE 65th St, Vancouver, WA 98665;449900;ForSale;3;2;Vancouver;2024-01-12T23:39:18.701Z
3217 N Ely Rd, Spokane, WA 99212;375000;ForSale;3;2;Spokane;2024-03-19T09:34:34.530Z
2708 Cedarwood Avenue, Bellingham, WA 98225;659000;ForSale;2;1;Bellingham;2024-03-15T23:14:41.835Z
16815 S Tapps Drive E, Lake Tapps, WA 98391;499950;ForSale;3;2;Lake Tapps;2023-12-28T23:15:05.473Z
714 S Silver Street, Centralia, WA 98631;344995;ForSale;2;1;Centralia;2024-02-09T12:34:44.699Z
290 Clark Creek Rd, Longview, WA 98632;234000;ForSale;3;1;Longview;2023-10-24T08:39:08.498Z
4025 NE 115th Ave, Portland, OR 97220;425000;ForSale;2;1;Portland;2023-10-30T07:28:32.674Z
3078 Colquitz Ave, Victoria, BC V9A 2M3;1059900;ForSale;4;3;Victoria;2024-02-15T22:44:35.638Z
1339 Columbia Crest Way, Kettle Falls, WA 99141;475000;ForSale;3;3;Kettle Falls;2024-03-27T23:53:27.661Z
32146 Diagonal Rd, Hermiston, OR 97838;384950;ForSale;3;2;Hermiston;2023-12-13T10:07:19.697Z
20708 119th Street Ct E, Bonney Lake, WA 98391;524990;ForSale;3;2;Bonney Lake;2023-10-26T12:43:33.813Z
21723 NE 156th Street, Woodinville, WA 98077;899990;ForSale;4;2;Woodinville;2023-12-03T13:06:23.573Z
226 Sims Ave, Victoria, BC V8Z 1K3;925000;ForSale;3;3;Victoria;2023-10-25T09:46:41.737Z
11133 N Forker Rd, Spokane, WA 99217;699000;ForSale;3;3;Spokane;2024-01-02T18:18:51.925Z
1986 Peacock Lane, Oak Harbor, WA 98277;450000;ForSale;3;2;Oak Harbor;2024-01-16T19:30:28.767Z
4435 Cowlitz Blvd, Richland, WA 99352;520900;ForSale;3;2;Richland;2023-12-06T19:09:44.728Z
1803 General Anderson Ave, Vancouver, WA 98661;400000;ForSale;3;1;Vancouver;2024-01-30T15:14:42.468Z
2359 Cookman St, Victoria, BC V8S 2X3;1350000;ForSale;4;2;Victoria;2023-12-26T14:22:13.020Z
314 Mariners Way, Southern Gulf Islands, BC V0N 2J2;699000;ForSale;4;3;Southern Gulf Islands;2024-03-26T07:03:18.928Z
7409 Myers Road, Bonney Lake, WA 98391;524950;ForSale;3;3;Bonney Lake;2023-12-01T01:11:31.403Z
312 Maliview Dr, Saltspring Island, BC V8K 1B1;819000;ForSale;2;2;Saltspring Island;2024-02-22T18:08:47.579Z
60 Palix Lane, South Bend, WA 98586;499000;ForSale;3;3;South Bend;2023-11-04T14:47:26.311Z
208 Pennsylvania Avenue, Wenatchee, WA 98801;399999;ForSale;3;2;Wenatchee;2023-11-02T22:11:00.316Z
15501 134th Place NE UNIT 21A, Woodinville, WA 98072;865000;ForSale;3;3;Woodinville;2023-12-28T05:41:08.317Z
5005 Sooke Hanger Dr, Capital, BC V9Z 1M9;849000;ForSale;0;0;Capital;2024-02-06T19:43:49.296Z
121 81st Avenue NE, Lake Stevens, WA 98258;1200000;ForSale;3;2;Lake Stevens;2023-10-24T01:56:03.738Z
3065 W Cami Ave, Post Falls, ID 83854;399000;ForSale;3;2;Post Falls;2024-03-14T17:23:51.428Z
539 W Washington St, Athena, OR 97813;329000;ForSale;5;2;Athena;2024-01-10T16:22:56.234Z
9938 NE Wygant St, Portland, OR 97220;579000;ForSale;4;2;Portland;2024-03-13T23:40:26.007Z
3901 Hobbs St, Victoria, BC V8N 4C8;1399000;ForSale;3;2;Victoria;2024-01-06T16:03:31.874Z
3201 S Rice Court, Camano Island, WA 98282;469000;ForSale;2;2;Camano Island;2024-01-05T10:14:10.714Z
8910 N Syracuse St, Portland, OR 97203;500000;ForSale;5;2;Portland;2024-01-07T20:41:46.750Z
1923 4th Street, Bremerton, WA 98337;280000;ForSale;1;1;Bremerton;2024-02-19T09:11:22.913Z
13703 Spanaway Loop S, Tacoma, WA 98444;1470000;ForSale;3;3;Tacoma;2024-03-23T15:29:29.026Z
7919 Patterson Rd, Saanichton, BC V8M 1L5;899900;ForSale;4;3;Saanichton;2024-01-12T04:02:55.903Z
40 Poplar St, Lake Cowichan, BC V0R 2G0;449000;ForSale;3;2;Lake Cowichan;2023-12-18T23:17:58.731Z
8522 SE 79th Place, Mercer Island, WA 98040;1797000;ForSale;4;4;Mercer Island;2024-02-15T07:53:27.966Z
280 Dolphin Bay Road, Orcas Island, WA 98245;5500000;ForSale;3;2;Eastsound;2024-01-22T21:15:55.584Z
11615 55th Avenue SW, Lakewood, WA 98499;649950;ForSale;4;3;Lakewood;2024-03-21T18:42:10.216Z
2721 NW Julia St, Camas, WA 98607;540000;ForSale;3;2;Camas;2023-12-21T21:18:40.372Z
960 Colonia Dr, Ladysmith, BC V9G 1N9;799900;ForSale;3;2;Ladysmith;2024-02-03T11:38:20.638Z
112 Wild Daisy Dr, Ariel, WA 98603;624900;ForSale;2;2;Ariel;2024-03-15T06:02:39.943Z
1040 SW 9th Pl, Hermiston, OR 97838;345900;ForSale;3;2;Hermiston;2024-03-25T20:44:17.558Z
4617 W Tapps Drive E, Lake Tapps, WA 98391;599999;ForSale;3;3;Lake Tapps;2024-01-01T02:33:05.487Z
114 Joppish Road, Centralia, WA 98531;250000;ForSale;3;1;Vancouver;2023-11-16T18:16:49.492Z
18909 SE 263rd Street, Covington, WA 98042;625000;ForSale;4;2;Covington;2023-10-25T09:05:18.616Z
575 S 10th St, Saint Helens, OR 97051;399900;ForSale;2;1;Saint Helens;2023-12-20T07:06:55.565Z
5713 NE 40th St, Vancouver, WA 98661;499900;ForSale;3;3;Vancouver;2023-11-26T04:46:59.516Z
10918 NE Highway 99 UNIT 41, Vancouver, WA 98686;240000;ForSale;4;2;Vancouver;2024-02-28T08:53:35.150Z
58848 Parkwood Dr, Saint Helens, OR 97051;450000;ForSale;4;3;Saint Helens;2023-11-25T15:48:25.093Z
5902-5904 Johnson Rd, Pullman, WA 99163;799000;ForSale;7;2;Pullman;2024-03-22T18:12:37.598Z
4793 N. Golf Course Drive, Blaine, WA 98230;519000;ForSale;3;2;Blaine;2023-11-22T14:00:30.245Z
1259 Maralee Ln Lane, Bellingham, WA 98226;667000;ForSale;3;2;Bellingham;2023-12-11T11:56:45.580Z
